0821_ctrl_tracking_A.csv
t,set_x,set_y,set_z,set_ry,uav_x,uav_y,uav_z,uav_ry,e_x,e_y,e_z,e_ry,
665.82,1,1,1,-nan,-0.031505,-0.0406466,-0.0510875,-0.0415614,1.03151,1.04065,1.05109,-nan,
665.84,1,1,1,-nan,-0.0323684,-0.0414994,-0.0507662,-0.0415766,1.03237,1.0415,1.05077,-nan,
665.86,1,1,1,-nan,-0.0323684,-0.0414994,-0.0507662,-0.0415766,1.03237,1.0415,1.05077,-nan,
665.881,1,1,1,-nan,-0.0312086,-0.0403383,-0.0501667,-0.0416713,1.03121,1.04034,1.05017,-nan,
665.9,1,1,1,-nan,-0.0312086,-0.0403383,-0.0501667,-0.0416713,1.03121,1.04034,1.05017,-nan,
665.92,1,1,1,-nan,-0.0307222,-0.0398514,-0.0497491,-0.0416697,1.03072,1.03985,1.04975,-nan,
665.94,1,1,1,-nan,-0.0302139,-0.039364,-0.0493203,-0.0416755,1.03021,1.03936,1.04932,-nan,
665.96,1,1,1,-nan,-0.0302139,-0.039364,-0.0493203,-0.0416755,1.03021,1.03936,1.04932,-nan,
665.98,1,1,1,-nan,-0.0299632,-0.0391458,-0.0488471,-0.0415943,1.02996,1.03915,1.04885,-nan,
666,1,1,1,-nan,-0.0299632,-0.0391458,-0.0488471,-0.0415943,1.02996,1.03915,1.04885,-nan,
666.02,1,1,1,-nan,-0.0300911,-0.0393012,-0.0484346,-0.041525,1.03009,1.0393,1.04843,-nan,
666.04,1,1,1,-nan,-0.030165,-0.0393887,-0.0480912,-0.0414151,1.03016,1.03939,1.04809,-nan,
666.06,1,1,1,-nan,-0.030165,-0.0393887,-0.0480912,-0.0414151,1.03016,1.03939,1.04809,-nan,
666.08,1,1,1,-nan,-0.0306016,-0.0398491,-0.0474107,-0.0414819,1.0306,1.03985,1.04741,-nan,
666.1,1,1,1,-nan,-0.0306016,-0.0398491,-0.0474107,-0.0414819,1.0306,1.03985,1.04741,-nan,
666.12,1,1,1,-nan,-0.0311623,-0.0404254,-0.047006,-0.0415142,1.03116,1.04043,1.04701,-nan,
666.14,1,1,1,-nan,-0.0316671,-0.0409037,-0.0464162,-0.0415334,1.03167,1.0409,1.04642,-nan,
666.161,1,1,1,-nan,-0.0316671,-0.0409037,-0.0464162,-0.0415334,1.03167,1.0409,1.04642,-nan,
666.18,1,1,1,-nan,-0.0326597,-0.0418603,-0.0457387,-0.0415571,1.03266,1.04186,1.04574,-nan,
666.2,1,1,1,-nan,-0.0326597,-0.0418603,-0.0457387,-0.0415571,1.03266,1.04186,1.04574,-nan,
666.22,1,1,1,-nan,-0.0336198,-0.0428156,-0.0452567,-0.041695,1.03362,1.04282,1.04526,-nan,
666.241,1,1,1,-nan,-0.0344713,-0.0436439,-0.044827,-0.0417669,1.03447,1.04364,1.04483,-nan,
666.261,1,1,1,-nan,-0.0344713,-0.0436439,-0.044827,-0.0417669,1.03447,1.04364,1.04483,-nan,
666.281,1,1,1,-nan,-0.0332244,-0.041875,-0.0442661,-0.0418516,1.03322,1.04188,1.04427,-nan,
666.3,1,1,1,-nan,-0.0332244,-0.041875,-0.0442661,-0.0418516,1.03322,1.04188,1.04427,-nan,
666.32,1,1,1,-nan,-0.0326666,-0.0409291,-0.0439295,-0.0418715,1.03267,1.04093,1.04393,-nan,
666.34,1,1,1,-nan,-0.0321132,-0.0399827,-0.0436378,-0.0418696,1.03211,1.03998,1.04364,-nan,
666.36,1,1,1,-nan,-0.0321132,-0.0399827,-0.0436378,-0.0418696,1.03211,1.03998,1.04364,-nan,
666.38,1,1,1,-nan,-0.0317866,-0.0391657,-0.0433076,-0.0418929,1.03179,1.03917,1.04331,-nan,
666.401,1,1,1,-nan,-0.0317866,-0.0391657,-0.0433076,-0.0418929,1.03179,1.03917,1.04331,-nan,
666.42,1,1,1,-nan,-0.0318229,-0.0388414,-0.0431179,-0.041828,1.03182,1.03884,1.04312,-nan,
666.44,1,1,1,-nan,-0.031789,-0.0384789,-0.0428512,-0.0418794,1.03179,1.03848,1.04285,-nan,
666.46,1,1,1,-nan,-0.031789,-0.0384789,-0.0428512,-0.0418794,1.03179,1.03848,1.04285,-nan,
666.48,1,1,1,-nan,-0.0320867,-0.038416,-0.0425698,-0.0418629,1.03209,1.03842,1.04257,-nan,
666.5,1,1,1,-nan,-0.0320867,-0.038416,-0.0425698,-0.0418629,1.03209,1.03842,1.04257,-nan,
666.521,1,1,1,-nan,-0.032531,-0.0386493,-0.0425081,-0.0418945,1.03253,1.03865,1.04251,-nan,
666.54,1,1,1,-nan,-0.0329058,-0.038796,-0.0425265,-0.0419266,1.03291,1.0388,1.04253,-nan,
666.56,1,1,1,-nan,-0.0329058,-0.038796,-0.0425265,-0.0419266,1.03291,1.0388,1.04253,-nan,
666.58,1,1,1,-nan,-0.0336786,-0.0392947,-0.0423133,-0.0417727,1.03368,1.03929,1.04231,-nan,
666.601,1,1,1,-nan,-0.0336786,-0.0392947,-0.0423133,-0.0417727,1.03368,1.03929,1.04231,-nan,
666.62,1,1,1,-nan,-0.0344425,-0.039898,-0.0421686,-0.041707,1.03444,1.0399,1.04217,-nan,
666.64,1,1,1,-nan,-0.0351066,-0.0404237,-0.0419205,-0.0418042,1.03511,1.04042,1.04192,-nan,
666.67,1,1,1,-nan,-0.0336918,-0.0389376,-0.0414831,-0.0418362,1.03369,1.03894,1.04148,-nan,
666.68,1,1,1,-nan,-0.0336918,-0.0389376,-0.0414831,-0.0418362,1.03369,1.03894,1.04148,-nan,
666.7,1,1,1,-nan,-0.0336918,-0.0389376,-0.0414831,-0.0418362,1.03369,1.03894,1.04148,-nan,
666.72,1,1,1,-nan,-0.0329789,-0.0381816,-0.041162,-0.0418881,1.03298,1.03818,1.04116,-nan,
666.741,1,1,1,-nan,-0.0322264,-0.0374081,-0.040597,-0.0417998,1.03223,1.03741,1.0406,-nan,
666.76,1,1,1,-nan,-0.0322264,-0.0374081,-0.040597,-0.0417998,1.03223,1.03741,1.0406,-nan,
666.78,1,1,1,-nan,-0.0311097,-0.036506,-0.0373146,-0.0411985,1.03111,1.03651,1.03731,-nan,
666.8,1,1,1,-nan,-0.0311097,-0.036506,-0.0373146,-0.0411985,1.03111,1.03651,1.03731,-nan,
666.821,1,1,1,-nan,-0.0300885,-0.0358346,-0.0323662,-0.0402049,1.03009,1.03583,1.03237,-nan,
666.84,1,1,1,-nan,-0.028943,-0.0349871,-0.02655,-0.0394506,1.02894,1.03499,1.02655,-nan,
666.86,1,1,1,-nan,-0.028943,-0.0349871,-0.02655,-0.0394506,1.02894,1.03499,1.02655,-nan,
666.88,1,1,1,-nan,-0.027183,-0.0335888,-0.0160261,-0.0370093,1.02718,1.03359,1.01603,-nan,
666.9,1,1,1,-nan,-0.027183,-0.0335888,-0.0160261,-0.0370093,1.02718,1.03359,1.01603,-nan,
666.92,1,1,1,-nan,-0.0254775,-0.032101,-0.00597527,-0.0335935,1.02548,1.0321,1.00598,-nan,
666.941,1,1,1,-nan,-0.0234865,-0.0302715,0.00399496,-0.0316848,1.02349,1.03027,0.996005,-nan,
666.961,1,1,1,-nan,-0.0234865,-0.0302715,0.00399496,-0.0316848,1.02349,1.03027,0.996005,-nan,
666.98,1,1,1,-nan,-0.020003,-0.0270257,0.0200734,-0.0280347,1.02,1.02703,0.979927,-nan,
667,1,1,1,-nan,-0.020003,-0.0270257,0.0200734,-0.0280347,1.02,1.02703,0.979927,-nan,
667.021,1,1,1,-nan,-0.016621,-0.023799,0.034255,-0.0239189,1.01662,1.0238,0.965745,-nan,
667.041,1,1,1,-nan,-0.0130933,-0.0203398,0.0476526,-0.0224814,1.01309,1.02034,0.952347,-nan,
667.06,1,1,1,-nan,-0.0130933,-0.0203398,0.0476526,-0.0224814,1.01309,1.02034,0.952347,-nan,
667.08,1,1,1,-nan,-0.00554083,-0.0123048,0.067702,-0.0192687,1.00554,1.0123,0.932298,-nan,
667.1,1,1,1,-nan,-0.00554083,-0.0123048,0.067702,-0.0192687,1.00554,1.0123,0.932298,-nan,
667.121,1,1,1,-nan,0.000954402,-0.00545176,0.084518,-0.0163124,0.999046,1.00545,0.915482,-nan,
667.14,1,1,1,-nan,0.00726906,0.0012255,0.0999168,-0.0149328,0.992731,0.998775,0.900083,-nan,
667.16,1,1,1,-nan,0.00726906,0.0012255,0.0999168,-0.0149328,0.992731,0.998775,0.900083,-nan,
667.18,1,1,1,-nan,0.0169304,0.0112863,0.122901,-0.0123015,0.98307,0.988714,0.877099,-nan,
667.2,1,1,1,-nan,0.0169304,0.0112863,0.122901,-0.0123015,0.98307,0.988714,0.877099,-nan,
667.22,1,1,1,-nan,0.0252053,0.0198473,0.142084,-0.0101002,0.974795,0.980153,0.857916,-nan,
667.241,1,1,1,-nan,0.0330318,0.0279372,0.159364,-0.00898721,0.966968,0.972063,0.840636,-nan,
667.26,1,1,1,-nan,0.0330318,0.0279372,0.159364,-0.00898721,0.966968,0.972063,0.840636,-nan,
667.28,1,1,1,-nan,0.044822,0.0400828,0.184689,-0.00723253,0.955178,0.959917,0.815311,-nan,
667.3,1,1,1,-nan,0.044822,0.0400828,0.184689,-0.00723253,0.955178,0.959917,0.815311,-nan,
667.32,1,1,1,-nan,0.054776,0.0503601,0.205306,-0.00599494,0.945224,0.94964,0.794694,-nan,
667.34,1,1,1,-nan,0.0639975,0.059897,0.223763,-0.00532811,0.936003,0.940103,0.776237,-nan,
667.36,1,1,1,-nan,0.0639975,0.059897,0.223763,-0.00532811,0.936003,0.940103,0.776237,-nan,
667.38,1,1,1,-nan,0.0778013,0.0741116,0.250584,-0.00412588,0.922199,0.925888,0.749416,-nan,
667.4,1,1,1,-nan,0.0778013,0.0741116,0.250584,-0.00412588,0.922199,0.925888,0.749416,-nan,
667.42,1,1,1,-nan,0.0894038,0.0859905,0.272144,-0.00310651,0.910596,0.91401,0.727856,-nan,
667.441,1,1,1,-nan,0.100023,0.0968561,0.29121,-0.00270123,0.899977,0.903144,0.70879,-nan,
667.46,1,1,1,-nan,0.100023,0.0968561,0.29121,-0.00270123,0.899977,0.903144,0.70879,-nan,
667.48,1,1,1,-nan,0.115351,0.115669,0.319166,-0.00198462,0.884649,0.884331,0.680834,-nan,
667.5,1,1,1,-nan,0.115351,0.115669,0.319166,-0.00198462,0.884649,0.884331,0.680834,-nan,
667.52,1,1,1,-nan,0.128121,0.130866,0.341261,-0.00110928,0.871879,0.869134,0.658739,-nan,
667.541,1,1,1,-nan,0.139679,0.14464,0.360688,-0.000901437,0.860321,0.85536,0.639312,-nan,
667.56,1,1,1,-nan,0.139679,0.14464,0.360688,-0.000901437,0.860321,0.85536,0.639312,-nan,
667.58,1,1,1,-nan,0.156779,0.16444,0.3883,-0.000403035,0.843221,0.83556,0.6117,-nan,
667.6,1,1,1,-nan,0.156779,0.16444,0.3883,-0.000403035,0.843221,0.83556,0.6117,-nan,
667.62,1,1,1,-nan,0.170918,0.180421,0.410099,0.000170134,0.829082,0.819579,0.589901,-nan,
667.64,1,1,1,-nan,0.189104,0.200858,0.43733,0.000355063,0.810896,0.799142,0.56267,-nan,
667.661,1,1,1,-nan,0.189104,0.200858,0.43733,0.000355063,0.810896,0.799142,0.56267,-nan,
667.68,1,1,1,-nan,0.202159,0.215449,0.456339,0.00102209,0.797841,0.784551,0.543661,-nan,
667.7,1,1,1,-nan,0.202159,0.215449,0.456339,0.00102209,0.797841,0.784551,0.543661,-nan,
667.72,1,1,1,-nan,0.217394,0.232078,0.477744,0.00176599,0.782606,0.767922,0.522256,-nan,
667.74,1,1,1,-nan,0.230942,0.246881,0.496453,0.00217513,0.769058,0.753119,0.503547,-nan,
667.76,1,1,1,-nan,0.230942,0.246881,0.496453,0.00217513,0.769058,0.753119,0.503547,-nan,
667.78,1,1,1,-nan,0.250657,0.268073,0.522964,0.0029489,0.749343,0.731927,0.477036,-nan,
667.8,1,1,1,-nan,0.250657,0.268073,0.522964,0.0029489,0.749343,0.731927,0.477036,-nan,
667.82,1,1,1,-nan,0.266762,0.285083,0.543606,0.0036412,0.733238,0.714917,0.456394,-nan,
667.84,1,1,1,-nan,0.281025,0.300126,0.561651,0.00407146,0.718975,0.699874,0.438349,-nan,
667.86,1,1,1,-nan,0.281025,0.300126,0.561651,0.00407146,0.718975,0.699874,0.438349,-nan,
667.88,1,1,1,-nan,0.302009,0.324301,0.587387,0.00460834,0.697991,0.675699,0.412613,-nan,
667.9,1,1,1,-nan,0.302009,0.324301,0.587387,0.00460834,0.697991,0.675699,0.412613,-nan,
667.921,1,1,1,-nan,0.31898,0.343357,0.607471,0.00515272,0.68102,0.656643,0.392529,-nan,
667.94,1,1,1,-nan,0.333936,0.360216,0.624913,0.00552557,0.666064,0.639784,0.375087,-nan,
667.96,1,1,1,-nan,0.333936,0.360216,0.624913,0.00552557,0.666064,0.639784,0.375087,-nan,
667.981,1,1,1,-nan,0.355426,0.383941,0.649419,0.00633691,0.644574,0.616059,0.350581,-nan,
668,1,1,1,-nan,0.355426,0.383941,0.649419,0.00633691,0.644574,0.616059,0.350581,-nan,
668.02,1,1,1,-nan,0.372717,0.402672,0.668302,0.00715581,0.627283,0.597328,0.331698,-nan,
668.041,1,1,1,-nan,0.387881,0.419134,0.684715,0.00731704,0.612119,0.580866,0.315285,-nan,
668.061,1,1,1,-nan,0.387881,0.419134,0.684715,0.00731704,0.612119,0.580866,0.315285,-nan,
